Archivo: DN419NG.jpg, Reconocido: IIQ64, Estado: FALLO SEGMENTACION
Archivo: 9JAG121_1.png, Reconocido: 9J6G121, Estado: FALLO SEGMENTACION
Archivo: WUDY993.JPG, Reconocido: UUDY993, Estado: FALLO NN
Archivo: CJ241TB.jpg, Reconocido: B, Estado: FALLO SEGMENTACION
Archivo: AP666TQ.jpg, Reconocido: KPEEETQZ, Estado: FALLO SEGMENTACION
Archivo: BS45640_1.png, Reconocido: QBS45640, Estado: FALLO SEGMENTACION
Archivo: FS153BW.jpg, Reconocido: FS53BV, Estado: FALLO SEGMENTACION
Archivo: 7418ZE25.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AE330NJ.jpg, Reconocido: AE33ONI, Estado: FALLO NN
Archivo: B3456.png, Reconocido: B3456, Estado: OK
Archivo: J444CJW.png, Reconocido: J44, Estado: FALLO SEGMENTACION
Archivo: BR16MOC.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: ZH818159.png, Reconocido: UZH818159, Estado: FALLO SEGMENTACION
Archivo: BLC971.png, Reconocido: C1, Estado: FALLO SEGMENTACION
Archivo: CT038ZN.png, Reconocido: CT058Z, Estado: FALLO SEGMENTACION
Archivo: CT401KB.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EL493LK.jpg, Reconocido: 4L, Estado: FALLO SEGMENTACION
Archivo: RK131F.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EZ853XD.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: ZE264F0.png, Reconocido: ZE260, Estado: FALLO SEGMENTACION
Archivo: NE62697.png, Reconocido: QNE62697H, Estado: FALLO SEGMENTACION
Archivo: AZ998DA.png, Reconocido: RDR, Estado: FALLO SEGMENTACION
Archivo: DY769ZV.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: GL80013U.png, Reconocido: QELB0013UV, Estado: FALLO SEGMENTACION
Archivo: ER803WH.jpg, Reconocido: E8O3H, Estado: FALLO SEGMENTACION
Archivo: 54JXF8.png, Reconocido: 54JXFB, Estado: FALLO NN
Archivo: CV194VA.jpg, Reconocido: 61194YA3, Estado: FALLO SEGMENTACION
Archivo: BA0304AC.png, Reconocido: BBA0304AC, Estado: FALLO SEGMENTACION
Archivo: G1457B.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B305CIL.png, Reconocido: B305CIL, Estado: OK
Archivo: CV997FW.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: MF01444.png, Reconocido: MFO444, Estado: FALLO SEGMENTACION
Archivo: 5126HVL.png, Reconocido: 5126HVL, Estado: OK
Archivo: FH921SN.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 515ND70.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BY187RT.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: NTH299.png, Reconocido: NTH299, Estado: OK
Archivo: CX471YT.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: ABA1234.JPG, Reconocido: ABWA1234, Estado: FALLO SEGMENTACION
Archivo: B121PHD.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 04KY53I2.png, Reconocido: D4KY53I2, Estado: FALLO NN
Archivo: 84R2712A.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: DM025MP.jpg, Reconocido: M, Estado: FALLO SEGMENTACION
Archivo: BAXB500.png, Reconocido: BAXB5OO, Estado: FALLO NN
Archivo: LBGM3358.png, Reconocido: B5M3R, Estado: FALLO SEGMENTACION
Archivo: DH605TQ.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SLF9995.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BH688GW.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 4CO78E.png, Reconocido: 4C078ERA, Estado: FALLO SEGMENTACION
Archivo: FR199739.png, Reconocido: UT, Estado: FALLO SEGMENTACION
Archivo: IBZ4185.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: MBDT781.JPG, Reconocido: MBDT7B1, Estado: FALLO NN
Archivo: FG393BF.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: QLGX125.JPG, Reconocido: TQLEX125, Estado: FALLO SEGMENTACION
Archivo: FP773DS.jpg, Reconocido: P3DSL, Estado: FALLO SEGMENTACION
Archivo: 9148SZ66.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: CK80068.png, Reconocido: E, Estado: FALLO SEGMENTACION
Archivo: LG9.JPG, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: JHJ70D.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 75N1960G_1.png, Reconocido: 75N13ED5, Estado: FALLO SEGMENTACION
Archivo: LJFJ551.png, Reconocido: LJFJ551, Estado: OK
Archivo: 71TPR1.png, Reconocido: 7TPR, Estado: FALLO SEGMENTACION
Archivo: UOU695.png, Reconocido: U0U695, Estado: FALLO NN
Archivo: EM279BL.jpg, Reconocido: EH279B, Estado: FALLO SEGMENTACION
Archivo: FS280FV.jpg, Reconocido: FS28OFV, Estado: FALLO NN
Archivo: BL315PX.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BB683JP.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: CC221PK.jpg, Reconocido: K, Estado: FALLO SEGMENTACION
Archivo: MDPC1249.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BA999ZZ.png, Reconocido: BAQ999ZZ, Estado: FALLO SEGMENTACION
Archivo: FA485KS.jpg, Reconocido: K, Estado: FALLO SEGMENTACION
Archivo: ANCL550.png, Reconocido: ANCL550, Estado: OK
Archivo: FR199739_1.png, Reconocido: RPP7, Estado: FALLO SEGMENTACION
Archivo: BL585KE.jpg, Reconocido: 85, Estado: FALLO SEGMENTACION
Archivo: SWR104.png, Reconocido: 1, Estado: FALLO SEGMENTACION
Archivo: B577PRO.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: XNP5042.png, Reconocido: XNP5OZ, Estado: FALLO SEGMENTACION
Archivo: AI20291.png, Reconocido: AI20291, Estado: OK
Archivo: B68SPK.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: E59J262.png, Reconocido: E59J262, Estado: OK
Archivo: HKT8466.png, Reconocido: HKT8466, Estado: OK
Archivo: CA188VG.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 3H360E.png, Reconocido: 3R36OE, Estado: FALLO NN
Archivo: SR15395.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EY728WJ.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: DOHAPE1.png, Reconocido: D0WHAPE1, Estado: FALLO SEGMENTACION
Archivo: G8360B.png, Reconocido: G8360B, Estado: OK
Archivo: BF058NY.jpg, Reconocido: UFO5BYY, Estado: FALLO NN
Archivo: GXD385.png, Reconocido: GXD385, Estado: OK
Archivo: BE259030_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: PEK2023.png, Reconocido: PEK2023, Estado: OK
Archivo: PFME707.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SLH8566.png, Reconocido: AK, Estado: FALLO SEGMENTACION
Archivo: B311ALY.png, Reconocido: JJJILY, Estado: FALLO SEGMENTACION
Archivo: BV547PG.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SMB2062.JPG, Reconocido: SMB2D62, Estado: FALLO NN
Archivo: 97M03901.png, Reconocido: 131KD39D1, Estado: FALLO SEGMENTACION
Archivo: B96TRH.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EV326XY.jpg, Reconocido: EV32EXY3, Estado: FALLO SEGMENTACION
Archivo: 6935XY64.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: T399JBH.png, Reconocido: 2T39BJBH, Estado: FALLO SEGMENTACION
Archivo: PB046BB.png, Reconocido: PBU046BB, Estado: FALLO SEGMENTACION
Archivo: FE615XW.jpg, Reconocido: FE615XV, Estado: FALLO NN
Archivo: FC074ZF.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: FS633TK.jpg, Reconocido: 633K, Estado: FALLO SEGMENTACION
Archivo: 9343ZH68.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EQ725QJ.jpg, Reconocido: E07250J4, Estado: FALLO SEGMENTACION
Archivo: FB487GN.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SG1153U.png, Reconocido: QS61153UV, Estado: FALLO SEGMENTACION
Archivo: DB749GD.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: KA761ET.png, Reconocido: KA7EIET, Estado: FALLO NN
Archivo: SAN9689.png, Reconocido: AT58T, Estado: FALLO SEGMENTACION
Archivo: DQ200PB.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: TR95XMI.png, Reconocido: KTREXXI, Estado: FALLO NN
Archivo: KSC124.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: RUDCN890.JPG, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BM602BT.png, Reconocido: BM6OZB, Estado: FALLO SEGMENTACION
Archivo: BL374RT.png, Reconocido: BL34R, Estado: FALLO SEGMENTACION
Archivo: IF09DAA.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: G98085.png, Reconocido: G3BDB5, Estado: FALLO NN
Archivo: ROWCQ66.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: MBCL600.JPG, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: FH785HT.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BA493MK.png, Reconocido: 1BK493NK, Estado: FALLO SEGMENTACION
Archivo: FL900VP.jpg, Reconocido: 90YP, Estado: FALLO SEGMENTACION
Archivo: FR931PX.jpg, Reconocido: RFR331PX, Estado: FALLO SEGMENTACION
Archivo: NMA9007.png, Reconocido: NHA9007, Estado: FALLO NN
Archivo: FC950FN.jpg, Reconocido: FOF, Estado: FALLO SEGMENTACION
Archivo: 3956ZJ68.jpg, Reconocido: 3956JE8, Estado: FALLO SEGMENTACION
Archivo: 1AAL547_1.png, Reconocido: 1LLL54, Estado: FALLO SEGMENTACION
Archivo: KYM3141.png, Reconocido: KYH3141, Estado: FALLO NN
Archivo: GR69681.png, Reconocido: UGR, Estado: FALLO SEGMENTACION
Archivo: TMD038.png, Reconocido: TND038, Estado: FALLO NN
Archivo: BE850NF.jpg, Reconocido: BEB5DNF, Estado: FALLO NN
Archivo: G2870D.png, Reconocido: 870D, Estado: FALLO SEGMENTACION
Archivo: BA065FT.jpg, Reconocido: T, Estado: FALLO SEGMENTACION
Archivo: FD2107H.png, Reconocido: FD2I07H, Estado: FALLO NN
Archivo: FP193RQ.jpg, Reconocido: FP9RQ, Estado: FALLO SEGMENTACION
Archivo: PP33556.png, Reconocido: PP33556, Estado: OK
Archivo: EL902WL.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B152FTO.png, Reconocido: WI52Q, Estado: FALLO SEGMENTACION
Archivo: 97C17149.png, Reconocido: T87CI7I48, Estado: FALLO SEGMENTACION
Archivo: MAX059.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AX128FT.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: W584RP.png, Reconocido: W584RP, Estado: OK
Archivo: B961TAG.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: G2274D.png, Reconocido: G227, Estado: FALLO SEGMENTACION
Archivo: 6473GZR.png, Reconocido: B, Estado: FALLO SEGMENTACION
Archivo: CT879GW.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 19LPBL1.png, Reconocido: RPPB, Estado: FALLO SEGMENTACION
Archivo: BV445NZ.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: OS186DN.png, Reconocido: 0SI86DN, Estado: FALLO NN
Archivo: BR16MOC_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BE800HG.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AR687FF.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B310VLV.png, Reconocido: ET1DNLY, Estado: FALLO NN
Archivo: B68SPK_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: FR881CN.jpg, Reconocido: BR38N1, Estado: FALLO SEGMENTACION
Archivo: KWG107.png, Reconocido: KG187, Estado: FALLO SEGMENTACION
Archivo: HHSE457H.png, Reconocido: HHSE457H, Estado: OK
Archivo: BS897PN.png, Reconocido: BS897PN, Estado: OK
Archivo: SB90TZI_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SK560DP.png, Reconocido: SK560DP, Estado: OK
Archivo: CM229MN_1.png, Reconocido: CN229NN, Estado: FALLO SEGMENTACION
Archivo: 252AYF67.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BBHZ1007.png, Reconocido: LZZKI1OO7, Estado: FALLO SEGMENTACION
Archivo: WW921MX.jpg, Reconocido: WMX, Estado: FALLO SEGMENTACION
Archivo: AB323VJ.png, Reconocido: AB3Z3VJ, Estado: FALLO NN
Archivo: B839HAR_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B311ALY_1.png, Reconocido: RB311LLY, Estado: FALLO SEGMENTACION
Archivo: INA6310.JPG, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: PUS142KP.png, Reconocido: 5PUI42KP, Estado: FALLO NN
Archivo: B911BLG_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AK685FJ.jpg, Reconocido: AK685FJ, Estado: OK
Archivo: CRX110.png, Reconocido: C3XT10, Estado: FALLO NN
Archivo: 07KE10361.png, Reconocido: 07KE103E1, Estado: FALLO NN
Archivo: FOW653.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: IICE3083.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: XTJ842.png, Reconocido: XTJ84Z, Estado: FALLO NN
Archivo: B198FLN.png, Reconocido: R198FLN, Estado: FALLO NN
Archivo: CX408PX.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BS45640.png, Reconocido: BS45640, Estado: OK
Archivo: KR444FT.png, Reconocido: KR444FT, Estado: OK
Archivo: MVL422.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 1QAF050.png, Reconocido: 1QLF05, Estado: FALLO SEGMENTACION
Archivo: BP27305.png, Reconocido: BP273D5, Estado: FALLO NN
Archivo: BM563AP.png, Reconocido: BN5E31P, Estado: FALLO NN
Archivo: B839HAR.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 1500WD68.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SRG105.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: MKY7195.png, Reconocido: RKY71, Estado: FALLO SEGMENTACION
Archivo: FF252ND.jpg, Reconocido: FFZ52ND, Estado: FALLO NN
Archivo: 72WFRV.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 9EBT002.png, Reconocido: 9EBT002, Estado: OK
Archivo: AA252WS.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: DT548KY.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: CG673BQ.jpg, Reconocido: R, Estado: FALLO SEGMENTACION
Archivo: B121PHD_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BE19260.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: W31491N.png, Reconocido: 349N, Estado: FALLO SEGMENTACION
Archivo: 24EZ90.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: NA516BN.png, Reconocido: N151EBN, Estado: FALLO NN
Archivo: 30VBX7.png, Reconocido: 30VBX7, Estado: OK
Archivo: CO2701AV.png, Reconocido: C02701AV, Estado: FALLO NN
Archivo: BQ360YQ.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: FL986ZT.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EA698EC.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 779PRA75.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 50KZ08.png, Reconocido: 50KZO8, Estado: FALLO NN
Archivo: ED412RZ.jpg, Reconocido: ED4I2R7, Estado: FALLO NN
Archivo: NRW11.png, Reconocido: NRU11, Estado: FALLO NN
Archivo: ER140CY.jpg, Reconocido: ER4OCY2, Estado: FALLO NN
Archivo: KKA9052.png, Reconocido: KKA9U52, Estado: FALLO NN
Archivo: SDS7201.png, Reconocido: FS, Estado: FALLO SEGMENTACION
Archivo: SLSC56.JPG, Reconocido: SLSC56, Estado: OK
Archivo: B98LPM.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AC508V.png, Reconocido: AC508V, Estado: OK
Archivo: BN15858.png, Reconocido: BN15B5B, Estado: FALLO NN
Archivo: ESCM1106.png, Reconocido: ES0CN1106, Estado: FALLO SEGMENTACION
Archivo: PG589G.JPG, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: N50IFSP_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B21GSB.png, Reconocido: B215SB, Estado: FALLO NN
Archivo: AR21346.png, Reconocido: QLR21346T, Estado: FALLO SEGMENTACION
Archivo: 33DS71.png, Reconocido: 337, Estado: FALLO SEGMENTACION
Archivo: GB55CMW.png, Reconocido: W, Estado: FALLO SEGMENTACION
Archivo: WW238BB.jpg, Reconocido: WY238BB, Estado: FALLO NN
Archivo: WW697BH.jpg, Reconocido: WB, Estado: FALLO SEGMENTACION
Archivo: SZ60653.png, Reconocido: QSZ60653U, Estado: FALLO SEGMENTACION
Archivo: FP190SM.jpg, Reconocido: EFP3D5ME, Estado: FALLO SEGMENTACION
Archivo: RE648AE.png, Reconocido: REW648AE, Estado: FALLO SEGMENTACION
Archivo: SYK63.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BC542TT.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EYA4798.png, Reconocido: EYR4738, Estado: FALLO NN
Archivo: 41JA34.png, Reconocido: 41JA34, Estado: OK
Archivo: MH04RDO.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: MDT5157.JPG, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 75N1960G.png, Reconocido: 75N13EOG, Estado: FALLO NN
Archivo: B97TWD_1.png, Reconocido: Y2I7VU, Estado: FALLO SEGMENTACION
Archivo: KC636D0.png, Reconocido: KC63ED0, Estado: FALLO NN
Archivo: BH3946BT.png, Reconocido: BHJ94XT, Estado: FALLO SEGMENTACION
Archivo: EM997GY.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: WW291DD.png, Reconocido: VV23IDD, Estado: FALLO NN
Archivo: FB670AV.png, Reconocido: FB9670AY, Estado: FALLO SEGMENTACION
Archivo: BQ670QB.png, Reconocido: BQ670QB1, Estado: FALLO SEGMENTACION
Archivo: B97TWD.png, Reconocido: A9U, Estado: FALLO SEGMENTACION
Archivo: FL527JN.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: FP999JB.jpg, Reconocido: P33, Estado: FALLO SEGMENTACION
Archivo: IF99STK.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 0648BU.png, Reconocido: O68, Estado: FALLO SEGMENTACION
Archivo: 995AXF35.jpg, Reconocido: 335AXF35, Estado: FALLO NN
Archivo: B58DTK.png, Reconocido: B58D, Estado: FALLO SEGMENTACION
Archivo: BMW6220.png, Reconocido: BMW6Z20, Estado: FALLO NN
Archivo: H864JGM.png, Reconocido: HB64M, Estado: FALLO SEGMENTACION
Archivo: ES465EA.jpg, Reconocido: ES4E5EJZ, Estado: FALLO SEGMENTACION
Archivo: MAP7563.JPG, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BW091AS.png, Reconocido: 1L, Estado: FALLO SEGMENTACION
Archivo: J68M017.png, Reconocido: J68M017, Estado: OK
Archivo: N50IFSP.png, Reconocido: N50IFSP, Estado: OK
Archivo: FS938HA.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: I008646.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: ACJ1698.png, Reconocido: ACJ16P8, Estado: FALLO NN
Archivo: DK752QM.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EK034FF.jpg, Reconocido: EK034FF, Estado: OK
Archivo: DR337TM.png, Reconocido: DR557N, Estado: FALLO SEGMENTACION
Archivo: BR07AAC_2.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: FM264CL.jpg, Reconocido: FW264CL, Estado: FALLO NN
Archivo: AEK5017.png, Reconocido: AEK50, Estado: FALLO SEGMENTACION
Archivo: B57RCH.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B172WAW.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: PI36KOG.png, Reconocido: 36KG, Estado: FALLO SEGMENTACION
Archivo: DJ115AO.png, Reconocido: DJII51O, Estado: FALLO NN
Archivo: Z3010AZ.png, Reconocido: Z3OOA, Estado: FALLO SEGMENTACION
Archivo: MH49XK.png, Reconocido: MH49XR, Estado: FALLO NN
Archivo: NW17700.png, Reconocido: QNV17700U, Estado: FALLO SEGMENTACION
Archivo: HH07194.PNG, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B320WTW.png, Reconocido: 2, Estado: FALLO SEGMENTACION
Archivo: CX347FC.png, Reconocido: CK, Estado: FALLO SEGMENTACION
Archivo: VZ390HM.png, Reconocido: V, Estado: FALLO SEGMENTACION
Archivo: BZ310SW.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AA508ST.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: W304JF.jpg, Reconocido: N3, Estado: FALLO SEGMENTACION
Archivo: B225RTK.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AL193VP.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: DW664GT.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B911BLG.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: DRP375.png, Reconocido: DRP375, Estado: OK
Archivo: 43TFQ92.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SBE880.png, Reconocido: S, Estado: FALLO SEGMENTACION
Archivo: QBY384.png, Reconocido: OBY384, Estado: FALLO NN
Archivo: SLA789.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EL156RR.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 1218ZD25.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: DE446EP.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: FM335RQ.jpg, Reconocido: RFH335RQE, Estado: FALLO SEGMENTACION
Archivo: FD347FH.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 34EN9199.png, Reconocido: 34EN9199, Estado: OK
Archivo: BLAM414.png, Reconocido: BLAM414, Estado: OK
Archivo: B96SXV_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AE014ZH.png, Reconocido: AE0I4ZH, Estado: FALLO NN
Archivo: CN976MT.jpg, Reconocido: N36M, Estado: FALLO SEGMENTACION
Archivo: DL076WT.jpg, Reconocido: DL07EVT6, Estado: FALLO SEGMENTACION
Archivo: FC768JZ.jpg, Reconocido: 6, Estado: FALLO SEGMENTACION
Archivo: IF99STK_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: CK0511.png, Reconocido: CK0511, Estado: OK
Archivo: AAAA111.JPG, Reconocido: I, Estado: FALLO SEGMENTACION
Archivo: DS641PQ.png, Reconocido: D, Estado: FALLO SEGMENTACION
Archivo: AA1399B0.png, Reconocido: AA1J99B0, Estado: FALLO NN
Archivo: OG883S.png, Reconocido: 06883S, Estado: FALLO NN
Archivo: THW82986.png, Reconocido: LXYA4Z29B6, Estado: FALLO SEGMENTACION
Archivo: QJ9905.png, Reconocido: QJ39D5, Estado: FALLO NN
Archivo: BJ202ZP.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B320WTW_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B176WOW.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: M8822E.png, Reconocido: N8822E, Estado: FALLO NN
Archivo: EJ494BR.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: VEL923.png, Reconocido: VFL923, Estado: FALLO NN
Archivo: LM5399.png, Reconocido: LM5399, Estado: OK
Archivo: GBR00F1.png, Reconocido: 5B0R00F, Estado: FALLO NN
Archivo: VD961408.png, Reconocido: QVD96Q0BI4, Estado: FALLO SEGMENTACION
Archivo: FS371VQ.jpg, Reconocido: FSJY0, Estado: FALLO SEGMENTACION
Archivo: FM971LJ.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: P01229.png, Reconocido: P01229, Estado: OK
Archivo: TG14106.png, Reconocido: TG406I, Estado: FALLO SEGMENTACION
Archivo: FS244GP.jpg, Reconocido: FSZ4Q5P1, Estado: FALLO SEGMENTACION
Archivo: SR11979.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: MM11XYL.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: CF058NS.jpg, Reconocido: O8N, Estado: FALLO SEGMENTACION
Archivo: G866969.png, Reconocido: B6363, Estado: FALLO SEGMENTACION
Archivo: DB999EM.jpg, Reconocido: OB333EN, Estado: FALLO NN
Archivo: DY378ZH.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: P01995.png, Reconocido: P01995, Estado: OK
Archivo: ZH86183.png, Reconocido: QZH86183IK, Estado: FALLO SEGMENTACION
Archivo: M9852.png, Reconocido: H9852, Estado: FALLO NN
Archivo: B089414.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 1020HG90.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: CH366BX.jpg, Reconocido: B, Estado: FALLO SEGMENTACION
Archivo: 42MR22.png, Reconocido: 42R22, Estado: FALLO SEGMENTACION
Archivo: KZ746AR.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B95GSV.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BB128ZB.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: ABGAP33.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BP310AH.png, Reconocido: BP510AH, Estado: FALLO NN
Archivo: B75MCY_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SB014882.png, Reconocido: D1CRR7, Estado: FALLO SEGMENTACION
Archivo: SPR911.JPG, Reconocido: SPR911, Estado: OK
Archivo: 6B90049.png, Reconocido: EB90049, Estado: FALLO NN
Archivo: BL654BP.png, Reconocido: BLV654BP, Estado: FALLO SEGMENTACION
Archivo: VK266CJ.png, Reconocido: VL2EECJ, Estado: FALLO NN
Archivo: CM229MN.png, Reconocido: CN229NN, Estado: FALLO NN
Archivo: BK678YW.jpg, Reconocido: BKE7BYYL, Estado: FALLO SEGMENTACION
Archivo: VSAV88.png, Reconocido: VSAVBB, Estado: FALLO NN
Archivo: BK308GQ.jpg, Reconocido: 8K308GQT, Estado: FALLO SEGMENTACION
Archivo: FK682NW.jpg, Reconocido: FKEBZNY, Estado: FALLO NN
Archivo: LA5079.JPG, Reconocido: LA5079, Estado: OK
Archivo: V5543EJ.png, Reconocido: EV5543EJ, Estado: FALLO SEGMENTACION
Archivo: S051701.png, Reconocido: 50, Estado: FALLO SEGMENTACION
Archivo: BR07AAC_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: FS319DF.jpg, Reconocido: FS319DF2, Estado: FALLO SEGMENTACION
Archivo: W178JZ.jpg, Reconocido: , Estado: FALLO SEGMENTACION
